symbol,entry_time,entry_price,exit_time,exit_price,quantity,direction,realized_pnl,reason
NIFTY22110318100PE,2022-11-03 15:10:00,34.15,2022-11-03 15:10:01,35.55,1,LONG,1.3999999999999986,rotate_exit
NIFTY22110318150CE,2022-11-03 15:10:01,0.1,2022-11-03 15:10:04,0.1,1,LONG,0.0,rotate_exit
NIFTY22110318150PE,2022-11-03 15:10:01,85.2,2022-11-03 15:10:04,87.5,1,LONG,2.299999999999997,rotate_exit
NIFTY22110318100CE,2022-11-03 15:10:04,0.35,2022-11-03 15:10:11,0.35,1,LONG,0.0,rotate_exit
NIFTY22110318100PE,2022-11-03 15:10:04,37.9,2022-11-03 15:10:11,36.5,1,LONG,-1.3999999999999986,rotate_exit
NIFTY22110318150CE,2022-11-03 15:10:11,0.15,2022-11-03 15:10:17,0.1,1,LONG,-0.04999999999999999,rotate_exit
NIFTY22110318150PE,2022-11-03 15:10:11,86.2,2022-11-03 15:10:17,86.55,1,LONG,0.3499999999999943,rotate_exit
NIFTY22110318100CE,2022-11-03 15:10:17,0.35,2022-11-03 15:10:20,0.35,1,LONG,0.0,rotate_exit
NIFTY22110318100PE,2022-11-03 15:10:17,36.9,2022-11-03 15:10:20,36.4,1,LONG,-0.5,rotate_exit
NIFTY22110318150CE,2022-11-03 15:10:20,0.15,2022-11-03 15:10:36,0.15,1,LONG,0.0,rotate_exit
NIFTY22110318150PE,2022-11-03 15:10:20,86.4,2022-11-03 15:10:36,86.3,1,LONG,-0.10000000000000853,rotate_exit
NIFTY22110318100CE,2022-11-03 15:10:36,0.35,2022-11-03 15:10:38,0.35,1,LONG,0.0,rotate_exit
NIFTY22110318100PE,2022-11-03 15:10:36,36.45,2022-11-03 15:10:38,37.6,1,LONG,1.1499999999999986,rotate_exit
NIFTY22110318150CE,2022-11-03 15:10:38,0.1,2022-11-03 15:10:42,0.1,1,LONG,0.0,rotate_exit
NIFTY22110318150PE,2022-11-03 15:10:38,87.0,2022-11-03 15:10:42,86.75,1,LONG,-0.25,rotate_exit
NIFTY22110318100CE,2022-11-03 15:10:42,0.25,2022-11-03 15:10:43,0.3,1,LONG,0.04999999999999999,rotate_exit
NIFTY22110318100PE,2022-11-03 15:10:42,36.6,2022-11-03 15:10:43,37.0,1,LONG,0.3999999999999986,rotate_exit
NIFTY22110318150CE,2022-11-03 15:10:43,0.1,2022-11-03 15:10:50,0.15,1,LONG,0.04999999999999999,rotate_exit
NIFTY22110318150PE,2022-11-03 15:10:43,87.0,2022-11-03 15:10:50,87.7,1,LONG,0.7000000000000028,rotate_exit
NIFTY22110318100CE,2022-11-03 15:10:50,0.25,2022-11-03 15:11:04,0.25,1,LONG,0.0,rotate_exit
NIFTY22110318100PE,2022-11-03 15:10:50,37.9,2022-11-03 15:11:04,37.0,1,LONG,-0.8999999999999986,rotate_exit
NIFTY22110318150CE,2022-11-03 15:11:04,0.15,2022-11-03 15:11:42,0.1,1,LONG,-0.04999999999999999,rotate_exit
NIFTY22110318150PE,2022-11-03 15:11:04,86.6,2022-11-03 15:11:42,87.25,1,LONG,0.6500000000000057,rotate_exit
NIFTY22110318100CE,2022-11-03 15:11:42,0.2,2022-11-03 15:11:43,0.2,1,LONG,0.0,rotate_exit
NIFTY22110318100PE,2022-11-03 15:11:42,37.35,2022-11-03 15:11:43,37.7,1,LONG,0.3500000000000014,rotate_exit
NIFTY22110318150CE,2022-11-03 15:11:43,0.1,2022-11-03 15:11:45,0.1,1,LONG,0.0,rotate_exit
NIFTY22110318150PE,2022-11-03 15:11:43,87.8,2022-11-03 15:11:45,87.4,1,LONG,-0.3999999999999915,rotate_exit
NIFTY22110318100CE,2022-11-03 15:11:45,0.2,2022-11-03 15:11:50,0.2,1,LONG,0.0,rotate_exit
NIFTY22110318100PE,2022-11-03 15:11:45,37.6,2022-11-03 15:11:50,36.45,1,LONG,-1.1499999999999986,rotate_exit
NIFTY22110318150CE,2022-11-03 15:11:50,0.1,2022-11-03 15:11:54,0.1,1,LONG,0.0,rotate_exit
NIFTY22110318150PE,2022-11-03 15:11:50,86.35,2022-11-03 15:11:54,87.0,1,LONG,0.6500000000000057,rotate_exit
NIFTY22110318100CE,2022-11-03 15:11:54,0.2,2022-11-03 15:12:01,0.25,1,LONG,0.04999999999999999,rotate_exit
NIFTY22110318100PE,2022-11-03 15:11:54,37.2,2022-11-03 15:12:01,36.8,1,LONG,-0.4000000000000057,rotate_exit
NIFTY22110318150CE,2022-11-03 15:12:01,0.1,2022-11-03 15:12:03,0.15,1,LONG,0.04999999999999999,rotate_exit
NIFTY22110318150PE,2022-11-03 15:12:01,86.3,2022-11-03 15:12:03,87.05,1,LONG,0.75,rotate_exit
NIFTY22110318100CE,2022-11-03 15:12:03,0.25,2022-11-03 15:12:19,0.2,1,LONG,-0.04999999999999999,rotate_exit
NIFTY22110318100PE,2022-11-03 15:12:03,37.25,2022-11-03 15:12:19,36.85,1,LONG,-0.3999999999999986,rotate_exit
NIFTY22110318150CE,2022-11-03 15:12:19,0.1,2022-11-03 15:12:20,0.1,1,LONG,0.0,rotate_exit
NIFTY22110318150PE,2022-11-03 15:12:19,87.0,2022-11-03 15:12:20,86.85,1,LONG,-0.15000000000000568,rotate_exit
NIFTY22110318100CE,2022-11-03 15:12:20,0.2,2022-11-03 15:12:21,0.15,1,LONG,-0.05000000000000002,rotate_exit
NIFTY22110318100PE,2022-11-03 15:12:20,37.0,2022-11-03 15:12:21,37.3,1,LONG,0.29999999999999716,rotate_exit
NIFTY22110318150CE,2022-11-03 15:12:21,0.1,2022-11-03 15:12:25,0.15,1,LONG,0.04999999999999999,rotate_exit
NIFTY22110318150PE,2022-11-03 15:12:21,87.1,2022-11-03 15:12:25,87.75,1,LONG,0.6500000000000057,rotate_exit
NIFTY22110318100CE,2022-11-03 15:12:25,0.2,2022-11-03 15:30:00,0.05,1,LONG,-0.15000000000000002,eod_close
NIFTY22110318100PE,2022-11-03 15:12:25,37.65,2022-11-03 15:30:00,47.25,1,LONG,9.600000000000001,eod_close
NIFTY22111018100CE,2022-11-04 09:15:00,122.3,2022-11-04 09:15:04,131.7,1,LONG,9.399999999999991,rotate_exit
NIFTY22111018100PE,2022-11-04 09:15:00,153.1,2022-11-04 09:15:04,138.15,1,LONG,-14.949999999999989,rotate_exit
NIFTY22111018150CE,2022-11-04 09:15:04,108.0,2022-11-04 09:15:43,102.1,1,LONG,-5.900000000000006,rotate_exit
NIFTY22111018150PE,2022-11-04 09:15:04,161.8,2022-11-04 09:15:43,168.5,1,LONG,6.699999999999989,rotate_exit
NIFTY22111018100CE,2022-11-04 09:15:43,125.3,2022-11-04 09:15:48,128.25,1,LONG,2.950000000000003,rotate_exit
