symbol,entry_time,entry_price,exit_time,exit_price,quantity,direction,realized_pnl,reason
BANKNIFTY22112442300CE,2022-11-21 11:12:17,250.45,2022-11-21 11:19:57,253.8,1,LONG,3.3500000000000227,rotate_exit
BANKNIFTY22112442300PE,2022-11-21 11:12:17,210.05,2022-11-21 11:19:57,209.45,1,LONG,-0.6000000000000227,rotate_exit
BANKNIFTY22112442400CE,2022-11-21 11:19:57,204.15,2022-11-21 11:19:58,203.95,1,LONG,-0.20000000000001705,rotate_exit
BANKNIFTY22112442400PE,2022-11-21 11:19:57,260.2,2022-11-21 11:19:58,260.05,1,LONG,-0.14999999999997726,rotate_exit
BANKNIFTY22112442300CE,2022-11-21 11:19:58,253.4,2022-11-21 11:20:00,253.55,1,LONG,0.15000000000000568,rotate_exit
BANKNIFTY22112442300PE,2022-11-21 11:19:58,209.3,2022-11-21 11:20:00,209.85,1,LONG,0.549999999999983,rotate_exit
BANKNIFTY22112442400CE,2022-11-21 11:20:00,203.6,2022-11-21 11:20:03,203.25,1,LONG,-0.3499999999999943,rotate_exit
BANKNIFTY22112442400PE,2022-11-21 11:20:00,260.25,2022-11-21 11:20:03,261.9,1,LONG,1.6499999999999773,rotate_exit
BANKNIFTY22112442300CE,2022-11-21 11:20:03,251.7,2022-11-21 11:20:06,253.3,1,LONG,1.6000000000000227,rotate_exit
BANKNIFTY22112442300PE,2022-11-21 11:20:03,210.65,2022-11-21 11:20:06,210.45,1,LONG,-0.20000000000001705,rotate_exit
BANKNIFTY22112442400CE,2022-11-21 11:20:06,203.6,2022-11-21 11:20:08,202.7,1,LONG,-0.9000000000000057,rotate_exit
BANKNIFTY22112442400PE,2022-11-21 11:20:06,262.0,2022-11-21 11:20:08,262.35,1,LONG,0.35000000000002274,rotate_exit
BANKNIFTY22112442300CE,2022-11-21 11:20:08,253.85,2022-11-21 11:20:11,254.55,1,LONG,0.700000000000017,rotate_exit
BANKNIFTY22112442300PE,2022-11-21 11:20:08,210.35,2022-11-21 11:20:11,209.85,1,LONG,-0.5,rotate_exit
BANKNIFTY22112442400CE,2022-11-21 11:20:11,204.8,2022-11-21 11:22:05,201.7,1,LONG,-3.1000000000000227,rotate_exit
BANKNIFTY22112442400PE,2022-11-21 11:20:11,260.75,2022-11-21 11:22:05,262.65,1,LONG,1.8999999999999773,rotate_exit
BANKNIFTY22112442300CE,2022-11-21 11:22:05,250.95,2022-11-21 11:22:13,252.45,1,LONG,1.5,rotate_exit
BANKNIFTY22112442300PE,2022-11-21 11:22:05,212.0,2022-11-21 11:22:13,210.65,1,LONG,-1.3499999999999943,rotate_exit
BANKNIFTY22112442400CE,2022-11-21 11:22:13,202.55,2022-11-21 11:22:15,202.9,1,LONG,0.3499999999999943,rotate_exit
BANKNIFTY22112442400PE,2022-11-21 11:22:13,261.4,2022-11-21 11:22:15,262.0,1,LONG,0.6000000000000227,rotate_exit
BANKNIFTY22112442300CE,2022-11-21 11:22:15,252.85,2022-11-21 11:22:18,252.35,1,LONG,-0.5,rotate_exit
BANKNIFTY22112442300PE,2022-11-21 11:22:15,210.6,2022-11-21 11:22:18,211.0,1,LONG,0.4000000000000057,rotate_exit
BANKNIFTY22112442400CE,2022-11-21 11:22:18,203.4,2022-11-21 11:22:20,203.25,1,LONG,-0.15000000000000568,rotate_exit
BANKNIFTY22112442400PE,2022-11-21 11:22:18,262.1,2022-11-21 11:22:20,261.55,1,LONG,-0.5500000000000114,rotate_exit
BANKNIFTY22112442300CE,2022-11-21 11:22:20,252.6,2022-11-21 11:22:24,254.15,1,LONG,1.5500000000000114,rotate_exit
BANKNIFTY22112442300PE,2022-11-21 11:22:20,210.75,2022-11-21 11:22:24,210.0,1,LONG,-0.75,rotate_exit
BANKNIFTY22112442400CE,2022-11-21 11:22:24,204.65,2022-11-21 11:22:32,204.0,1,LONG,-0.6500000000000057,rotate_exit
BANKNIFTY22112442400PE,2022-11-21 11:22:24,260.9,2022-11-21 11:22:32,261.85,1,LONG,0.9500000000000455,rotate_exit
BANKNIFTY22112442300CE,2022-11-21 11:22:32,252.7,2022-11-21 11:22:36,253.0,1,LONG,0.30000000000001137,rotate_exit
BANKNIFTY22112442300PE,2022-11-21 11:22:32,211.2,2022-11-21 11:22:36,211.0,1,LONG,-0.19999999999998863,rotate_exit
BANKNIFTY22112442400CE,2022-11-21 11:22:36,204.05,2022-11-21 11:22:37,204.95,1,LONG,0.8999999999999773,rotate_exit
BANKNIFTY22112442400PE,2022-11-21 11:22:36,261.35,2022-11-21 11:22:37,261.8,1,LONG,0.44999999999998863,rotate_exit
BANKNIFTY22112442300CE,2022-11-21 11:22:37,254.45,2022-11-21 11:22:44,254.8,1,LONG,0.35000000000002274,rotate_exit
BANKNIFTY22112442300PE,2022-11-21 11:22:37,210.9,2022-11-21 11:22:44,209.7,1,LONG,-1.200000000000017,rotate_exit
BANKNIFTY22112442400CE,2022-11-21 11:22:44,205.0,2022-11-21 11:22:50,203.55,1,LONG,-1.4499999999999886,rotate_exit
BANKNIFTY22112442400PE,2022-11-21 11:22:44,260.8,2022-11-21 11:22:50,261.1,1,LONG,0.30000000000001137,rotate_exit
BANKNIFTY22112442300CE,2022-11-21 11:22:50,253.0,2022-11-21 11:25:01,255.95,1,LONG,2.9499999999999886,rotate_exit
BANKNIFTY22112442300PE,2022-11-21 11:22:50,210.8,2022-11-21 11:25:01,208.55,1,LONG,-2.25,rotate_exit
BANKNIFTY22112442400CE,2022-11-21 11:25:01,206.25,2022-11-21 11:25:15,205.3,1,LONG,-0.9499999999999886,rotate_exit
BANKNIFTY22112442400PE,2022-11-21 11:25:01,259.6,2022-11-21 11:25:15,259.9,1,LONG,0.2999999999999545,rotate_exit
BANKNIFTY22112442300CE,2022-11-21 11:25:15,254.55,2022-11-21 11:25:16,255.15,1,LONG,0.5999999999999943,rotate_exit
BANKNIFTY22112442300PE,2022-11-21 11:25:15,209.0,2022-11-21 11:25:16,209.2,1,LONG,0.19999999999998863,rotate_exit
BANKNIFTY22112442400CE,2022-11-21 11:25:16,205.2,2022-11-21 11:25:50,204.7,1,LONG,-0.5,rotate_exit
BANKNIFTY22112442400PE,2022-11-21 11:25:16,259.9,2022-11-21 11:25:50,260.3,1,LONG,0.4000000000000341,rotate_exit
BANKNIFTY22112442300CE,2022-11-21 11:25:50,253.55,2022-11-21 11:25:53,255.2,1,LONG,1.6499999999999773,rotate_exit
BANKNIFTY22112442300PE,2022-11-21 11:25:50,209.7,2022-11-21 11:25:53,209.0,1,LONG,-0.6999999999999886,rotate_exit
BANKNIFTY22112442400CE,2022-11-21 11:25:53,205.3,2022-11-21 11:26:50,201.85,1,LONG,-3.450000000000017,rotate_exit
BANKNIFTY22112442400PE,2022-11-21 11:25:53,259.3,2022-11-21 11:26:50,261.9,1,LONG,2.599999999999966,rotate_exit
BANKNIFTY22112442300CE,2022-11-21 11:26:50,251.55,2022-11-21 11:27:09,252.75,1,LONG,1.1999999999999886,rotate_exit
BANKNIFTY22112442300PE,2022-11-21 11:26:50,211.2,2022-11-21 11:27:09,211.45,1,LONG,0.25,rotate_exit
BANKNIFTY22112442400CE,2022-11-21 11:27:09,203.0,2022-11-21 11:27:12,202.3,1,LONG,-0.6999999999999886,rotate_exit
BANKNIFTY22112442400PE,2022-11-21 11:27:09,261.85,2022-11-21 11:27:12,263.0,1,LONG,1.1499999999999773,rotate_exit
BANKNIFTY22112442300CE,2022-11-21 11:27:12,251.6,2022-11-21 11:29:23,255.45,1,LONG,3.8499999999999943,rotate_exit
BANKNIFTY22112442300PE,2022-11-21 11:27:12,212.1,2022-11-21 11:29:23,208.5,1,LONG,-3.5999999999999943,rotate_exit
BANKNIFTY22112442400CE,2022-11-21 11:29:23,205.3,2022-11-21 11:29:41,203.6,1,LONG,-1.700000000000017,rotate_exit
BANKNIFTY22112442400PE,2022-11-21 11:29:23,259.35,2022-11-21 11:29:41,261.55,1,LONG,2.1999999999999886,rotate_exit
BANKNIFTY22112442300CE,2022-11-21 11:29:41,252.95,2022-11-21 11:29:52,254.0,1,LONG,1.0500000000000114,rotate_exit
BANKNIFTY22112442300PE,2022-11-21 11:29:41,210.9,2022-11-21 11:29:52,210.95,1,LONG,0.04999999999998295,rotate_exit
BANKNIFTY22112442400CE,2022-11-21 11:29:52,204.35,2022-11-21 11:30:18,203.95,1,LONG,-0.4000000000000057,rotate_exit
BANKNIFTY22112442400PE,2022-11-21 11:29:52,261.6,2022-11-21 11:30:18,260.25,1,LONG,-1.3500000000000227,rotate_exit
BANKNIFTY22112442300CE,2022-11-21 11:30:18,253.2,2022-11-21 11:30:21,254.8,1,LONG,1.6000000000000227,rotate_exit
BANKNIFTY22112442300PE,2022-11-21 11:30:18,209.5,2022-11-21 11:30:21,208.0,1,LONG,-1.5,rotate_exit
BANKNIFTY22112442400CE,2022-11-21 11:30:21,205.3,2022-11-21 11:30:31,204.8,1,LONG,-0.5,rotate_exit
BANKNIFTY22112442400PE,2022-11-21 11:30:21,258.55,2022-11-21 11:30:31,258.15,1,LONG,-0.4000000000000341,rotate_exit
BANKNIFTY22112442300CE,2022-11-21 11:30:31,255.0,2022-11-21 11:30:34,254.95,1,LONG,-0.05000000000001137,rotate_exit
BANKNIFTY22112442300PE,2022-11-21 11:30:31,208.1,2022-11-21 11:30:34,208.3,1,LONG,0.20000000000001705,rotate_exit
